Unnamed: 0,X.2,X.1,X,country,year,ciri,unreg,unsubreg,disap,kill,polpris,tort,assn,formov,dommov,speech,elecsd,rel_free,union_p,barg_p,hour_p,force_p,child_p,wage_p,safe_p,trafficking_p,injud,wecon,wopol,wosoc_p,ngo_freedom,trial_p,wosoc_l,union_l,barg_l,hour_l,force_l,child_l,wage_l,safe_l,trafficking_l,americas,europe,asia_middle_east,africa,oceania,atrocity_years,physint_sum,workerrights_practices_sum,repression_sum,civpol_sum,human_rights_score,workerrights_laws_sum,bbatrocity,zero_kill,zero_disap,zero_polpris,zero_tort,bbatrocity_intensity,avg_kill3,avg_disap3,avg_polpris3,avg_tort3,avg_bbatrocity_intensity3,avg_speech3,avg_rel_free3,avg_dommov3,avg_formov3,avg_assn3,avg_wopol3,avg_wosoc_l3,avg_wosoc_p3,avg_wecon3,avg_union_l3,avg_union_p3,avg_barg_l3,avg_barg_p3,avg_force_l3,avg_force_p3,avg_child_l3,avg_child_p3,avg_wage_l3,avg_wage_p3,avg_safe_l3,avg_safe_p3,avg_hour_l3,avg_hour_p3,avg_trafficking_l3,avg_trafficking_p3,avg_trial_p3,avg_injud3,wopol_two,wecon_two,wosoc_two,trial_two,atrocity_hrscore,emp_rights_sum,hrscorex2,avg_ngo3,avg_elecsd3
511,511,511,511,Cameroon,2005,191,2,17,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,0,15,4.0,3.0,6.0,2.0,30.0,8.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,2,30.0,,
528,528,528,528,Canada,2005,194,21,21,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1,0,0,0,0,0,6.0,11.0,13.0,4.0,80.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,2.0,2.0,9,80.0,,
545,545,545,545,Cabo Verde,2005,197,2,11,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,,0,0,0,1,0,0,7.0,9.0,14.0,5.0,,9.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,5,,,
562,562,562,562,Central African Rep.,2005,200,2,17,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0,0,0,1,0,15,3.0,4.0,5.0,2.0,26.0,9.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,2,26.0,,
579,579,579,579,Chad,2005,203,2,17,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0,0,0,1,0,15,2.0,3.0,4.0,2.0,,11.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,3,,,
596,596,596,596,Chile,2005,206,419,5,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1,0,0,0,0,2,7.0,9.0,13.0,4.0,72.0,11.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,7,72.0,,
613,613,613,613,China,2005,209,142,30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0,0,1,0,0,29,0.0,4.0,0.0,0.0,16.0,9.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,2,16.0,,
630,630,630,630,Colombia,2005,212,419,5,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1,0,0,0,0,35,0.0,6.0,5.0,4.0,38.0,9.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,4,38.0,,
647,647,647,647,Comoros,2005,215,2,14,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0,0,0,1,0,0,8.0,4.0,13.0,4.0,,5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,5,,,
664,664,664,664,Dem. Rep. Congo,2005,218,2,17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0,0,0,1,0,24,2.0,1.0,3.0,1.0,14.0,8.0,1.0,1.0,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,1,14.0,,
681,681,681,681,Congo,2005,221,2,17,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0,0,0,1,0,6,4.0,6.0,10.0,5.0,52.0,10.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,3,52.0,,
698,698,698,698,Costa Rica,2005,224,419,13,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1,0,0,0,0,0,7.0,6.0,14.0,5.0,76.0,11.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,2.0,10,76.0,,
715,715,715,715,Cote d'Ivoire,2005,227,2,11,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0,0,0,1,0,14,2.0,5.0,4.0,2.0,26.0,10.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,2,26.0,,
